algo,text,threads,n,m,repeats,median_ms,mad_ms,occurrences
bmh_seq,english,1,67108864,16,5,24.641159,0.279973,95
omp_bmh,english,1,67108864,16,5,24.879288,0.324358,95
omp_bmh,english,2,67108864,16,5,12.299757,0.508414,95
omp_bmh,english,4,67108864,16,5,6.448252,0.052049,95
omp_bmh,english,6,67108864,16,5,4.98434,0.269405,95
omp_bmh,english,8,67108864,16,5,3.250923,0.170177,95
omp_bmh,english,12,67108864,16,5,2.563166,0.047826,95
omp_bmh,english,16,67108864,16,5,2.169043,0.216394,95
omp_bmh,english,20,67108864,16,5,2.564798,0.596458,95
bmh_seq,dna,1,67108864,16,5,53.172033,0.57292,1
omp_bmh,dna,1,67108864,16,5,53.437327,0.535812,1
omp_bmh,dna,2,67108864,16,5,26.987523,0.259803,1
omp_bmh,dna,4,67108864,16,5,14.324978,0.55575,1
omp_bmh,dna,6,67108864,16,5,10.058424,0.404622,1
omp_bmh,dna,8,67108864,16,5,7.906582,0.410126,1
omp_bmh,dna,12,67108864,16,5,5.987796,0.270043,1
omp_bmh,dna,16,67108864,16,5,5.027821,0.853567,1
omp_bmh,dna,20,67108864,16,5,5.545183,1.481835,1
