algo,threads,n,repeats,median_ms,mad_ms
merge_seq,1,16777216,5,1305.2631,7.439117
std_sort_seq,1,16777216,5,975.15206,4.804312
thread_merge,1,16777216,5,1302.7005,2.798365
thread_merge,2,16777216,5,693.80521,3.090832
thread_merge,4,16777216,5,399.73006,0.05359
thread_merge,8,16777216,5,268.70083,5.333073
thread_merge,16,16777216,5,207.67873,4.360351
omp_merge,1,16777216,5,1302.4303,2.478943
omp_merge,2,16777216,5,742.19735,7.469841
omp_merge,4,16777216,5,581.14426,6.657807
omp_merge,6,16777216,5,481.81097,1.056391
omp_merge,8,16777216,5,418.84771,4.102589
omp_merge,12,16777216,5,363.17443,7.11435
omp_merge,16,16777216,5,324.32207,2.457376
omp_merge,20,16777216,5,308.51501,7.508802
par_stl,0,16777216,5,82.874088,1.663982
