algo,text,sweep,n,m,occurrences,pre_ops,text_reads,char_comparisons
naive,dna,n,4096,16,1,0,5407,5407
kmp,dna,n,4096,16,1,18,5092,5092
bmh,dna,n,4096,16,1,15,1668,1668
rabin_karp,dna,n,4096,16,1,31,8192,16
naive,dna,n,16384,16,1,0,21904,21904
kmp,dna,n,16384,16,1,19,20543,20543
bmh,dna,n,16384,16,1,15,3701,3701
rabin_karp,dna,n,16384,16,1,31,32768,16
naive,dna,n,65536,16,1,0,87410,87410
kmp,dna,n,65536,16,1,17,81982,81982
bmh,dna,n,65536,16,1,15,37062,37062
rabin_karp,dna,n,65536,16,1,31,131072,16
naive,dna,n,262144,16,1,0,349721,349721
kmp,dna,n,262144,16,1,18,327704,327704
bmh,dna,n,262144,16,1,15,147690,147690
rabin_karp,dna,n,262144,16,1,31,524288,16
naive,dna,n,1048576,16,1,0,1398514,1398514
kmp,dna,n,1048576,16,1,18,1306337,1306337
bmh,dna,n,1048576,16,1,15,328042,328042
rabin_karp,dna,n,1048576,16,1,31,2097152,16
naive,dna,n,4194304,16,1,0,5593621,5593621
kmp,dna,n,4194304,16,1,17,5177504,5177504
bmh,dna,n,4194304,16,1,15,1188501,1188501
rabin_karp,dna,n,4194304,16,1,31,8388608,16
naive,ascii,n,4096,16,1,0,4137,4137
kmp,ascii,n,4096,16,1,15,4137,4137
bmh,ascii,n,4096,16,1,15,295,295
rabin_karp,ascii,n,4096,16,1,31,8192,16
naive,ascii,n,16384,16,1,0,16555,16555
kmp,ascii,n,16384,16,1,16,16552,16552
bmh,ascii,n,16384,16,1,15,1121,1121
rabin_karp,ascii,n,16384,16,1,31,32768,16
naive,ascii,n,65536,16,1,0,66245,66245
kmp,ascii,n,65536,16,1,15,66230,66230
bmh,ascii,n,65536,16,1,15,4508,4508
rabin_karp,ascii,n,65536,16,1,31,131072,16
naive,ascii,n,262144,16,1,0,264945,264945
kmp,ascii,n,262144,16,1,15,264921,264921
bmh,ascii,n,262144,16,1,15,17940,17940
rabin_karp,ascii,n,262144,16,1,31,524288,16
naive,ascii,n,1048576,16,1,0,1059827,1059827
kmp,ascii,n,1048576,16,1,15,1059706,1059706
bmh,ascii,n,1048576,16,1,15,71306,71306
rabin_karp,ascii,n,1048576,16,1,31,2097152,16
naive,ascii,n,4194304,16,1,0,4238685,4238685
kmp,ascii,n,4194304,16,1,15,4238210,4238210
bmh,ascii,n,4194304,16,1,15,286106,286106
rabin_karp,ascii,n,4194304,16,1,31,8388608,16
naive,english,n,4096,16,1,0,5593,5593
kmp,english,n,4096,16,1,17,5125,5125
bmh,english,n,4096,16,1,15,609,609
rabin_karp,english,n,4096,16,1,31,8192,16
naive,english,n,16384,16,1,0,18605,18605
kmp,english,n,16384,16,1,16,17550,17550
bmh,english,n,16384,16,1,15,1796,1796
rabin_karp,english,n,16384,16,1,31,32768,16
naive,english,n,65536,16,1,0,69336,69336
kmp,english,n,65536,16,1,15,67096,67096
bmh,english,n,65536,16,1,15,7780,7780
rabin_karp,english,n,65536,16,1,31,131072,16
naive,english,n,262144,16,1,0,283367,283367
kmp,english,n,262144,16,1,17,280880,280880
bmh,english,n,262144,16,1,15,26368,26368
rabin_karp,english,n,262144,16,1,31,524288,16
naive,english,n,1048576,16,3,0,1117015,1117015
kmp,english,n,1048576,16,3,15,1098382,1098382
bmh,english,n,1048576,16,3,15,235828,235828
rabin_karp,english,n,1048576,16,3,31,2097184,48
naive,english,n,4194304,16,1,0,4742615,4742615
kmp,english,n,4194304,16,1,15,4524696,4524696
bmh,english,n,4194304,16,1,15,445692,445692
rabin_karp,english,n,4194304,16,1,31,8388608,16
naive,periodic,n,4096,16,0,0,65296,65296
kmp,periodic,n,4096,16,0,29,8177,8177
bmh,periodic,n,4096,16,0,15,4081,4081
rabin_karp,periodic,n,4096,16,0,31,8176,0
naive,periodic,n,16384,16,0,0,261904,261904
kmp,periodic,n,16384,16,0,29,32753,32753
bmh,periodic,n,16384,16,0,15,16369,16369
rabin_karp,periodic,n,16384,16,0,31,32752,0
naive,periodic,n,65536,16,0,0,1048336,1048336
kmp,periodic,n,65536,16,0,29,131057,131057
bmh,periodic,n,65536,16,0,15,65521,65521
rabin_karp,periodic,n,65536,16,0,31,131056,0
naive,periodic,n,262144,16,0,0,4194064,4194064
kmp,periodic,n,262144,16,0,29,524273,524273
bmh,periodic,n,262144,16,0,15,262129,262129
rabin_karp,periodic,n,262144,16,0,31,524272,0
naive,periodic,n,1048576,16,0,0,16776976,16776976
kmp,periodic,n,1048576,16,0,29,2097137,2097137
bmh,periodic,n,1048576,16,0,15,1048561,1048561
rabin_karp,periodic,n,1048576,16,0,31,2097136,0
naive,periodic,n,4194304,16,0,0,67108624,67108624
kmp,periodic,n,4194304,16,0,29,8388593,8388593
bmh,periodic,n,4194304,16,0,15,4194289,4194289
rabin_karp,periodic,n,4194304,16,0,31,8388592,0
naive,dna,m,1048576,4,4149,0,1394120,1394120
