algo,text,n,m,repeats,median_ms,occurrences
naive,dna,1048576,4,5,2.084853,4149
kmp,dna,1048576,4,5,2.210564,4149
bmh,dna,1048576,4,5,1.222362,4149
rabin_karp,dna,1048576,4,5,5.081919,4149
sv_find,dna,1048576,4,5,1.210151,4149
std_bmh,dna,1048576,4,5,1.228731,4149
std_bm,dna,1048576,4,5,1.271404,4149
naive,dna,1048576,8,5,2.449842,22
kmp,dna,1048576,8,5,2.496807,22
bmh,dna,1048576,8,5,0.937563,22
rabin_karp,dna,1048576,8,5,5.002399,22
sv_find,dna,1048576,8,5,1.161176,22
std_bmh,dna,1048576,8,5,0.925665,22
std_bm,dna,1048576,8,5,0.901066,22
naive,dna,1048576,16,5,2.472313,1
kmp,dna,1048576,16,5,2.604527,1
bmh,dna,1048576,16,5,0.887777,1
rabin_karp,dna,1048576,16,5,5.059733,1
sv_find,dna,1048576,16,5,1.149676,1
std_bmh,dna,1048576,16,5,0.873291,1
std_bm,dna,1048576,16,5,0.719949,1
naive,dna,1048576,32,5,2.196352,1
kmp,dna,1048576,32,5,2.250496,1
bmh,dna,1048576,32,5,0.896747,1
rabin_karp,dna,1048576,32,5,5.018626,1
sv_find,dna,1048576,32,5,1.129729,1
std_bmh,dna,1048576,32,5,0.871775,1
std_bm,dna,1048576,32,5,0.530999,1
naive,dna,1048576,64,5,2.537555,1
kmp,dna,1048576,64,5,2.606265,1
bmh,dna,1048576,64,5,1.382111,1
rabin_karp,dna,1048576,64,5,5.060785,1
sv_find,dna,1048576,64,5,1.106014,1
std_bmh,dna,1048576,64,5,1.331865,1
std_bm,dna,1048576,64,5,0.573347,1
naive,dna,1048576,128,5,2.540064,1
kmp,dna,1048576,128,5,2.630062,1
bmh,dna,1048576,128,5,0.836038,1
rabin_karp,dna,1048576,128,5,5.039057,1
sv_find,dna,1048576,128,5,1.096431,1
std_bmh,dna,1048576,128,5,0.824702,1
std_bm,dna,1048576,128,5,0.557399,1
naive,dna,1048576,256,5,2.538337,1
kmp,dna,1048576,256,5,2.62404,1
bmh,dna,1048576,256,5,0.957399,1
rabin_karp,dna,1048576,256,5,4.995527,1
sv_find,dna,1048576,256,5,1.104311,1
std_bmh,dna,1048576,256,5,0.977468,1
std_bm,dna,1048576,256,5,0.577084,1
naive,dna,1048576,512,5,2.540878,1
kmp,dna,1048576,512,5,2.59255,1
bmh,dna,1048576,512,5,1.220582,1
rabin_karp,dna,1048576,512,5,5.010687,1
sv_find,dna,1048576,512,5,1.128541,1
std_bmh,dna,1048576,512,5,1.203057,1
std_bm,dna,1048576,512,5,0.296432,1
naive,dna,1048576,1024,5,2.480747,1
kmp,dna,1048576,1024,5,2.59451,1
bmh,dna,1048576,1024,5,1.322343,1
rabin_karp,dna,1048576,1024,5,4.992042,1
sv_find,dna,1048576,1024,5,1.130494,1
std_bmh,dna,1048576,1024,5,1.307795,1
std_bm,dna,1048576,1024,5,0.421878,1
naive,ascii,1048576,4,5,0.336588,1
kmp,ascii,1048576,4,5,0.329971,1
bmh,ascii,1048576,4,5,0.512288,1
rabin_karp,ascii,1048576,4,5,4.958324,1
sv_find,ascii,1048576,4,5,0.129741,1
std_bmh,ascii,1048576,4,5,0.464012,1
std_bm,ascii,1048576,4,5,0.560739,1
naive,ascii,1048576,8,5,0.34196,1
kmp,ascii,1048576,8,5,0.327718,1
bmh,ascii,1048576,8,5,0.258361,1
rabin_karp,ascii,1048576,8,5,4.967229,1
sv_find,ascii,1048576,8,5,0.132642,1
std_bmh,ascii,1048576,8,5,0.235451,1
std_bm,ascii,1048576,8,5,0.273172,1
naive,ascii,1048576,16,5,0.336276,1
kmp,ascii,1048576,16,5,0.329345,1
bmh,ascii,1048576,16,5,0.139812,1
rabin_karp,ascii,1048576,16,5,5.011551,1
sv_find,ascii,1048576,16,5,0.128171,1
std_bmh,ascii,1048576,16,5,0.122622,1
std_bm,ascii,1048576,16,5,0.148233,1
naive,ascii,1048576,32,5,0.341609,1
kmp,ascii,1048576,32,5,0.338724,1
bmh,ascii,1048576,32,5,0.077081,1
rabin_karp,ascii,1048576,32,5,5.044212,1
sv_find,ascii,1048576,32,5,0.124276,1
std_bmh,ascii,1048576,32,5,0.070445,1
std_bm,ascii,1048576,32,5,0.084902,1
naive,ascii,1048576,64,5,0.338921,1
kmp,ascii,1048576,64,5,0.326371,1
bmh,ascii,1048576,64,5,0.069273,1
rabin_karp,ascii,1048576,64,5,5.001144,1
sv_find,ascii,1048576,64,5,0.120659,1
std_bmh,ascii,1048576,64,5,0.069616,1
std_bm,ascii,1048576,64,5,0.073015,1
naive,ascii,1048576,128,5,0.340925,1
kmp,ascii,1048576,128,5,0.336978,1
bmh,ascii,1048576,128,5,0.052175,1
rabin_karp,ascii,1048576,128,5,4.96915,1
sv_find,ascii,1048576,128,5,0.121992,1
std_bmh,ascii,1048576,128,5,0.055659,1
std_bm,ascii,1048576,128,5,0.054146,1
naive,ascii,1048576,256,5,0.335135,1
kmp,ascii,1048576,256,5,0.335278,1
bmh,ascii,1048576,256,5,0.042494,1
rabin_karp,ascii,1048576,256,5,5.120065,1
sv_find,ascii,1048576,256,5,0.119595,1
std_bmh,ascii,1048576,256,5,0.045771,1
std_bm,ascii,1048576,256,5,0.044704,1
naive,ascii,1048576,512,5,0.31881,1
kmp,ascii,1048576,512,5,0.348211,1
bmh,ascii,1048576,512,5,0.038437,1
rabin_karp,ascii,1048576,512,5,4.978225,1
sv_find,ascii,1048576,512,5,0.119735,1
std_bmh,ascii,1048576,512,5,0.041303,1
std_bm,ascii,1048576,512,5,0.040688,1
naive,ascii,1048576,1024,5,0.33417,1
kmp,ascii,1048576,1024,5,0.329297,1
bmh,ascii,1048576,1024,5,0.039854,1
rabin_karp,ascii,1048576,1024,5,5.032015,1
sv_find,ascii,1048576,1024,5,0.120261,1
std_bmh,ascii,1048576,1024,5,0.043022,1
std_bm,ascii,1048576,1024,5,0.043044,1
naive,english,1048576,4,5,1.062381,2092
kmp,english,1048576,4,5,1.171828,2092
bmh,english,1048576,4,5,0.805394,2092
rabin_karp,english,1048576,4,5,5.089497,2092
sv_find,english,1048576,4,5,0.510466,2092
std_bmh,english,1048576,4,5,0.775837,2092
std_bm,english,1048576,4,5,0.846643,2092
naive,english,1048576,8,5,0.954148,257
kmp,english,1048576,8,5,1.136774,257
bmh,english,1048576,8,5,0.982376,257
rabin_karp,english,1048576,8,5,5.037608,257
sv_find,english,1048576,8,5,0.418162,257
std_bmh,english,1048576,8,5,0.983082,257
std_bm,english,1048576,8,5,0.738407,257
naive,english,1048576,16,5,0.677016,3
kmp,english,1048576,16,5,0.757978,3
bmh,english,1048576,16,5,0.669179,3
rabin_karp,english,1048576,16,5,4.992535,3
sv_find,english,1048576,16,5,0.345305,3
std_bmh,english,1048576,16,5,0.684088,3
std_bm,english,1048576,16,5,0.422399,3
naive,english,1048576,32,5,1.004087,1
kmp,english,1048576,32,5,1.145222,1
bmh,english,1048576,32,5,0.247117,1
rabin_karp,english,1048576,32,5,5.061998,1
sv_find,english,1048576,32,5,0.378517,1
std_bmh,english,1048576,32,5,0.240433,1
std_bm,english,1048576,32,5,0.228056,1
naive,english,1048576,64,5,0.965906,1
kmp,english,1048576,64,5,1.091641,1
bmh,english,1048576,64,5,0.146115,1
rabin_karp,english,1048576,64,5,4.873154,1
sv_find,english,1048576,64,5,0.364575,1
std_bmh,english,1048576,64,5,0.138785,1
std_bm,english,1048576,64,5,0.150234,1
naive,english,1048576,128,5,0.830894,1
kmp,english,1048576,128,5,0.934915,1
bmh,english,1048576,128,5,0.162059,1
rabin_karp,english,1048576,128,5,5.008055,1
