algo,text,n,m,repeats,median_ms,occurrences
naive,dna,4096,16,5,0.00708,1
kmp,dna,4096,16,5,0.008076,1
bmh,dna,4096,16,5,0.002355,1
rabin_karp,dna,4096,16,5,0.019582,1
sv_find,dna,4096,16,5,0.004405,1
std_bmh,dna,4096,16,5,0.002335,1
std_bm,dna,4096,16,5,0.00195,1
naive,dna,16384,16,5,0.037051,1
kmp,dna,16384,16,5,0.039777,1
bmh,dna,16384,16,5,0.006663,1
rabin_karp,dna,16384,16,5,0.077997,1
sv_find,dna,16384,16,5,0.017916,1
std_bmh,dna,16384,16,5,0.0058,1
std_bm,dna,16384,16,5,0.006177,1
naive,dna,65536,16,5,0.155443,1
kmp,dna,65536,16,5,0.166399,1
bmh,dna,65536,16,5,0.097579,1
rabin_karp,dna,65536,16,5,0.311709,1
sv_find,dna,65536,16,5,0.070948,1
std_bmh,dna,65536,16,5,0.094764,1
std_bm,dna,65536,16,5,0.074107,1
naive,dna,262144,16,5,0.652187,1
kmp,dna,262144,16,5,0.667442,1
bmh,dna,262144,16,5,0.398652,1
rabin_karp,dna,262144,16,5,1.254705,1
sv_find,dna,262144,16,5,0.282529,1
std_bmh,dna,262144,16,5,0.402737,1
std_bm,dna,262144,16,5,0.256289,1
naive,dna,1048576,16,5,2.47824,1
kmp,dna,1048576,16,5,2.523572,1
bmh,dna,1048576,16,5,0.890793,1
rabin_karp,dna,1048576,16,5,4.973668,1
sv_find,dna,1048576,16,5,1.140118,1
std_bmh,dna,1048576,16,5,0.879775,1
std_bm,dna,1048576,16,5,0.714956,1
naive,dna,4194304,16,5,8.870621,1
kmp,dna,4194304,16,5,8.98941,1
bmh,dna,4194304,16,5,3.216409,1
rabin_karp,dna,4194304,16,5,19.806781,1
sv_find,dna,4194304,16,5,4.620613,1
std_bmh,dna,4194304,16,5,3.199892,1
std_bm,dna,4194304,16,5,3.033109,1
naive,ascii,4096,16,5,0.001411,1
kmp,ascii,4096,16,5,0.001426,1
bmh,ascii,4096,16,5,0.000575,1
rabin_karp,ascii,4096,16,5,0.01955,1
sv_find,ascii,4096,16,5,0.000267,1
std_bmh,ascii,4096,16,5,0.000626,1
std_bm,ascii,4096,16,5,0.000755,1
naive,ascii,16384,16,5,0.005379,1
kmp,ascii,16384,16,5,0.005219,1
bmh,ascii,16384,16,5,0.002142,1
rabin_karp,ascii,16384,16,5,0.077993,1
sv_find,ascii,16384,16,5,0.001031,1
std_bmh,ascii,16384,16,5,0.001978,1
std_bm,ascii,16384,16,5,0.002395,1
naive,ascii,65536,16,5,0.021188,1
kmp,ascii,65536,16,5,0.021348,1
bmh,ascii,65536,16,5,0.008585,1
rabin_karp,ascii,65536,16,5,0.311656,1
sv_find,ascii,65536,16,5,0.004768,1
std_bmh,ascii,65536,16,5,0.007828,1
std_bm,ascii,65536,16,5,0.009474,1
naive,ascii,262144,16,5,0.084289,1
kmp,ascii,262144,16,5,0.081795,1
bmh,ascii,262144,16,5,0.034004,1
rabin_karp,ascii,262144,16,5,1.245295,1
sv_find,ascii,262144,16,5,0.028599,1
std_bmh,ascii,262144,16,5,0.030865,1
std_bm,ascii,262144,16,5,0.037593,1
naive,ascii,1048576,16,5,0.336759,1
kmp,ascii,1048576,16,5,0.325919,1
bmh,ascii,1048576,16,5,0.135202,1
rabin_karp,ascii,1048576,16,5,5.000251,1
sv_find,ascii,1048576,16,5,0.127476,1
std_bmh,ascii,1048576,16,5,0.122593,1
std_bm,ascii,1048576,16,5,0.148118,1
naive,ascii,4194304,16,5,1.352637,1
kmp,ascii,4194304,16,5,1.29785,1
bmh,ascii,4194304,16,5,0.529689,1
rabin_karp,ascii,4194304,16,5,19.943787,1
sv_find,ascii,4194304,16,5,0.504159,1
std_bmh,ascii,4194304,16,5,0.493461,1
std_bm,ascii,4194304,16,5,0.620544,1
naive,english,4096,16,5,0.003624,1
kmp,english,4096,16,5,0.005371,1
bmh,english,4096,16,5,0.001188,1
rabin_karp,english,4096,16,5,0.021273,1
sv_find,english,4096,16,5,0.004509,1
std_bmh,english,4096,16,5,0.001102,1
std_bm,english,4096,16,5,0.001288,1
naive,english,16384,16,5,0.013211,1
kmp,english,16384,16,5,0.015648,1
bmh,english,16384,16,5,0.003532,1
rabin_karp,english,16384,16,5,0.078158,1
sv_find,english,16384,16,5,0.006979,1
std_bmh,english,16384,16,5,0.003488,1
std_bm,english,16384,16,5,0.004007,1
naive,english,65536,16,5,0.03483,1
kmp,english,65536,16,5,0.035464,1
bmh,english,65536,16,5,0.015026,1
rabin_karp,english,65536,16,5,0.31161,1
sv_find,english,65536,16,5,0.012221,1
std_bmh,english,65536,16,5,0.01399,1
std_bm,english,65536,16,5,0.016509,1
naive,english,262144,16,5,0.208808,1
kmp,english,262144,16,5,0.230689,1
bmh,english,262144,16,5,0.049622,1
rabin_karp,english,262144,16,5,1.245823,1
sv_find,english,262144,16,5,0.100482,1
std_bmh,english,262144,16,5,0.045765,1
std_bm,english,262144,16,5,0.054337,1
naive,english,1048576,16,5,0.673034,3
kmp,english,1048576,16,5,0.74223,3
bmh,english,1048576,16,5,0.673415,3
rabin_karp,english,1048576,16,5,5.073152,3
sv_find,english,1048576,16,5,0.351873,3
std_bmh,english,1048576,16,5,0.68343,3
std_bm,english,1048576,16,5,0.443155,3
naive,english,4194304,16,5,4.084114,1
kmp,english,4194304,16,5,4.490245,1
bmh,english,4194304,16,5,1.009786,1
rabin_karp,english,4194304,16,5,20.010888,1
sv_find,english,4194304,16,5,1.746055,1
std_bmh,english,4194304,16,5,0.955841,1
std_bm,english,4194304,16,5,1.032427,1
naive,periodic,4096,16,5,0.009308,0
kmp,periodic,4096,16,5,0.003451,0
bmh,periodic,4096,16,5,0.008482,0
rabin_karp,periodic,4096,16,5,0.021703,0
sv_find,periodic,4096,16,5,0.017545,0
std_bmh,periodic,4096,16,5,0.007198,0
std_bm,periodic,4096,16,5,0.00847,0
naive,periodic,16384,16,5,0.033764,0
kmp,periodic,16384,16,5,0.012265,0
bmh,periodic,16384,16,5,0.030387,0
rabin_karp,periodic,16384,16,5,0.078229,0
sv_find,periodic,16384,16,5,0.069663,0
std_bmh,periodic,16384,16,5,0.028044,0
std_bm,periodic,16384,16,5,0.033529,0
naive,periodic,65536,16,5,0.135222,0
kmp,periodic,65536,16,5,0.060759,0
bmh,periodic,65536,16,5,0.121631,0
rabin_karp,periodic,65536,16,5,0.31065,0
sv_find,periodic,65536,16,5,0.280554,0
std_bmh,periodic,65536,16,5,0.112033,0
std_bm,periodic,65536,16,5,0.13371,0
naive,periodic,262144,16,5,0.549615,0
kmp,periodic,262144,16,5,0.242768,0
bmh,periodic,262144,16,5,0.486626,0
rabin_karp,periodic,262144,16,5,1.246946,0
sv_find,periodic,262144,16,5,1.13274,0
std_bmh,periodic,262144,16,5,0.448169,0
std_bm,periodic,262144,16,5,0.541109,0
naive,periodic,1048576,16,5,2.229004,0
kmp,periodic,1048576,16,5,0.800717,0
bmh,periodic,1048576,16,5,1.963003,0
rabin_karp,periodic,1048576,16,5,5.016462,0
sv_find,periodic,1048576,16,5,4.530169,0
std_bmh,periodic,1048576,16,5,1.803039,0
std_bm,periodic,1048576,16,5,2.194854,0
naive,periodic,4194304,16,5,8.74854,0
kmp,periodic,4194304,16,5,3.158287,0
bmh,periodic,4194304,16,5,7.832785,0
rabin_karp,periodic,4194304,16,5,19.999016,0
sv_find,periodic,4194304,16,5,18.276639,0
std_bmh,periodic,4194304,16,5,7.270712,0
std_bm,periodic,4194304,16,5,8.665463,0
