algo,family,dist,n,comparisons,moves,swaps
bubble,n2,random,256,32630,0,15786
bubble,n2,random,1024,522236,0,254690
bubble,n2,random,4096,8380344,0,4200231
bubble,n2,sorted,256,255,0,0
bubble,n2,sorted,1024,1023,0,0
bubble,n2,sorted,4096,4095,0,0
bubble,n2,reversed,256,32640,0,32640
bubble,n2,reversed,1024,523776,0,523776
bubble,n2,reversed,4096,8386560,0,8386560
bubble,n2,nearly_sorted,256,509,0,2
bubble,n2,nearly_sorted,1024,2045,0,10
bubble,n2,nearly_sorted,4096,8189,0,34
bubble,n2,few_unique,256,32112,0,14114
bubble,n2,few_unique,1024,516990,0,229255
bubble,n2,few_unique,4096,8295609,0,3781363
insertion,n2,random,256,16035,16296,0
insertion,n2,random,1024,255707,256736,0
insertion,n2,random,4096,4204317,4208421,0
insertion,n2,sorted,256,255,510,0
insertion,n2,sorted,1024,1023,2046,0
insertion,n2,sorted,4096,4095,8190,0
insertion,n2,reversed,256,32640,33150,0
insertion,n2,reversed,1024,523776,525822,0
insertion,n2,reversed,4096,8386560,8394750,0
insertion,n2,nearly_sorted,256,257,512,0
insertion,n2,nearly_sorted,1024,1033,2056,0
insertion,n2,nearly_sorted,4096,4129,8224,0
insertion,n2,few_unique,256,14367,14624,0
insertion,n2,few_unique,1024,230276,231301,0
insertion,n2,few_unique,4096,3785456,3789553,0
selection,n2,random,256,32640,0,254
selection,n2,random,1024,523776,0,1015
selection,n2,random,4096,8386560,0,4090
selection,n2,sorted,256,32640,0,0
selection,n2,sorted,1024,523776,0,0
selection,n2,sorted,4096,8386560,0,0
selection,n2,reversed,256,32640,0,128
selection,n2,reversed,1024,523776,0,512
selection,n2,reversed,4096,8386560,0,2048
selection,n2,nearly_sorted,256,32640,0,2
selection,n2,nearly_sorted,1024,523776,0,10
selection,n2,nearly_sorted,4096,8386560,0,34
selection,n2,few_unique,256,32640,0,229
selection,n2,few_unique,1024,523776,0,907
selection,n2,few_unique,4096,8386560,0,3696
shell,n2,random,256,2436,3865,0
