algo,family,dist,n,repeats,median_ms
bubble,n2,random,256,5,0.023738
bubble,n2,random,1024,5,0.321402
bubble,n2,random,4096,5,4.514164
bubble,n2,random,16384,5,69.026193
bubble,n2,random,32768,5,721.05
bubble,n2,sorted,256,5,7e-05
bubble,n2,sorted,1024,5,0.000158
bubble,n2,sorted,4096,5,0.000566
bubble,n2,sorted,16384,5,0.002764
bubble,n2,sorted,32768,5,0.005505
bubble,n2,reversed,256,5,0.008641
bubble,n2,reversed,1024,5,0.10449
bubble,n2,reversed,4096,5,1.613012
bubble,n2,reversed,16384,5,25.683715
bubble,n2,reversed,32768,5,105.73324
bubble,n2,nearly_sorted,256,5,0.000171
bubble,n2,nearly_sorted,1024,5,0.000464
bubble,n2,nearly_sorted,4096,5,0.001687
bubble,n2,nearly_sorted,16384,5,0.007384
bubble,n2,nearly_sorted,32768,5,0.019017
bubble,n2,few_unique,256,5,0.01898
bubble,n2,few_unique,1024,5,0.281962
bubble,n2,few_unique,4096,5,4.081193
bubble,n2,few_unique,16384,5,62.719789
bubble,n2,few_unique,32768,5,651.84595
insertion,n2,random,256,5,0.004735
insertion,n2,random,1024,5,0.05395
insertion,n2,random,4096,5,0.819674
insertion,n2,random,16384,5,12.92908
insertion,n2,random,32768,5,50.798803
insertion,n2,sorted,256,5,0.000116
insertion,n2,sorted,1024,5,0.000302
insertion,n2,sorted,4096,5,0.001081
insertion,n2,sorted,16384,5,0.004661
insertion,n2,sorted,32768,5,0.008862
insertion,n2,reversed,256,5,0.007454
insertion,n2,reversed,1024,5,0.103404
insertion,n2,reversed,4096,5,1.621244
insertion,n2,reversed,16384,5,25.54585
insertion,n2,reversed,32768,5,102.54244
insertion,n2,nearly_sorted,256,5,0.000117
insertion,n2,nearly_sorted,1024,5,0.000367
insertion,n2,nearly_sorted,4096,5,0.001324
insertion,n2,nearly_sorted,16384,5,0.005551
insertion,n2,nearly_sorted,32768,5,0.01114
insertion,n2,few_unique,256,5,0.00419
insertion,n2,few_unique,1024,5,0.049017
insertion,n2,few_unique,4096,5,0.742856
insertion,n2,few_unique,16384,5,11.455489
insertion,n2,few_unique,32768,5,45.38366
selection,n2,random,256,5,0.035564
selection,n2,random,1024,5,0.54369
selection,n2,random,4096,5,9.347808
selection,n2,random,16384,5,150.63255
selection,n2,random,32768,5,601.4088
selection,n2,sorted,256,5,0.027522
selection,n2,sorted,1024,5,0.542208
selection,n2,sorted,4096,5,9.263258
selection,n2,sorted,16384,5,149.47521
selection,n2,sorted,32768,5,599.22204
selection,n2,reversed,256,5,0.029713
selection,n2,reversed,1024,5,0.54598
selection,n2,reversed,4096,5,9.257648
selection,n2,reversed,16384,5,149.31427
selection,n2,reversed,32768,5,601.39817
selection,n2,nearly_sorted,256,5,0.027676
selection,n2,nearly_sorted,1024,5,0.548078
selection,n2,nearly_sorted,4096,5,9.248777
selection,n2,nearly_sorted,16384,5,149.51842
selection,n2,nearly_sorted,32768,5,603.36388
selection,n2,few_unique,256,5,0.034074
selection,n2,few_unique,1024,5,0.530223
selection,n2,few_unique,4096,5,9.225045
selection,n2,few_unique,16384,5,150.8975
selection,n2,few_unique,32768,5,603.6641
shell,n2,random,256,5,0.003299
shell,n2,random,1024,5,0.032134
shell,n2,random,4096,5,0.183655
shell,n2,random,16384,5,0.902672
shell,n2,random,32768,5,1.969633
shell,n2,random,65536,5,4.292149
shell,n2,random,262144,5,20.198414
shell,n2,random,1048576,5,92.863691
shell,n2,sorted,256,5,0.00058
shell,n2,sorted,1024,5,0.002985
shell,n2,sorted,4096,5,0.012184
shell,n2,sorted,16384,5,0.054278
shell,n2,sorted,32768,5,0.116032
shell,n2,sorted,65536,5,0.250217
shell,n2,sorted,262144,5,1.159938
shell,n2,sorted,1048576,5,5.361939
shell,n2,reversed,256,5,0.00121
shell,n2,reversed,1024,5,0.005259
shell,n2,reversed,4096,5,0.022639
shell,n2,reversed,16384,5,0.091037
shell,n2,reversed,32768,5,0.203
shell,n2,reversed,65536,5,0.407093
shell,n2,reversed,262144,5,1.822022
shell,n2,reversed,1048576,5,8.462702
shell,n2,nearly_sorted,256,5,0.000594
shell,n2,nearly_sorted,1024,5,0.002551
shell,n2,nearly_sorted,4096,5,0.012024
shell,n2,nearly_sorted,16384,5,0.055026
shell,n2,nearly_sorted,32768,5,0.118719
shell,n2,nearly_sorted,65536,5,0.260322
shell,n2,nearly_sorted,262144,5,1.163842
shell,n2,nearly_sorted,1048576,5,5.441001
shell,n2,few_unique,256,5,0.001964
shell,n2,few_unique,1024,5,0.012997
shell,n2,few_unique,4096,5,0.072046
shell,n2,few_unique,16384,5,0.291347
shell,n2,few_unique,32768,5,0.639688
shell,n2,few_unique,65536,5,1.220791
shell,n2,few_unique,262144,5,4.927923
shell,n2,few_unique,1048576,5,21.24378
merge,nlogn,random,256,5,0.005776
merge,nlogn,random,1024,5,0.037771
merge,nlogn,random,4096,5,0.191338
merge,nlogn,random,16384,5,0.884875
merge,nlogn,random,32768,5,1.90503
merge,nlogn,random,65536,5,4.119907
merge,nlogn,random,262144,5,18.489259
merge,nlogn,random,1048576,5,82.691314
merge,nlogn,sorted,256,5,0.003183
merge,nlogn,sorted,1024,5,0.014672
merge,nlogn,sorted,4096,5,0.071554
merge,nlogn,sorted,16384,5,0.299383
merge,nlogn,sorted,32768,5,0.606308
merge,nlogn,sorted,65536,5,1.23399
merge,nlogn,sorted,262144,5,5.626742
merge,nlogn,sorted,1048576,5,25.578906
merge,nlogn,reversed,256,5,0.003266
merge,nlogn,reversed,1024,5,0.014633
merge,nlogn,reversed,4096,5,0.065178
merge,nlogn,reversed,16384,5,0.276677
merge,nlogn,reversed,32768,5,0.610186
merge,nlogn,reversed,65536,5,1.25137
merge,nlogn,reversed,262144,5,5.731637
merge,nlogn,reversed,1048576,5,25.656456
merge,nlogn,nearly_sorted,256,5,0.00316
merge,nlogn,nearly_sorted,1024,5,0.01424
merge,nlogn,nearly_sorted,4096,5,0.062535
merge,nlogn,nearly_sorted,16384,5,0.284384
merge,nlogn,nearly_sorted,32768,5,0.613786
merge,nlogn,nearly_sorted,65536,5,1.297029
merge,nlogn,nearly_sorted,262144,5,5.526775
merge,nlogn,nearly_sorted,1048576,5,25.480606
merge,nlogn,few_unique,256,5,0.004987
merge,nlogn,few_unique,1024,5,0.025375
merge,nlogn,few_unique,4096,5,0.12482
merge,nlogn,few_unique,16384,5,0.575429
merge,nlogn,few_unique,32768,5,1.164551
merge,nlogn,few_unique,65536,5,2.447675
merge,nlogn,few_unique,262144,5,10.321501
merge,nlogn,few_unique,1048576,5,45.601898
quick,nlogn,random,256,5,0.003236
quick,nlogn,random,1024,5,0.023745
quick,nlogn,random,4096,5,0.125789
quick,nlogn,random,16384,5,0.575386
quick,nlogn,random,32768,5,1.243736
quick,nlogn,random,65536,5,2.629846
quick,nlogn,random,262144,5,11.751954
quick,nlogn,random,1048576,5,51.529818
quick,nlogn,sorted,256,5,0.000836
quick,nlogn,sorted,1024,5,0.003582
quick,nlogn,sorted,4096,5,0.015174
quick,nlogn,sorted,16384,5,0.059255
quick,nlogn,sorted,32768,5,0.121391
quick,nlogn,sorted,65536,5,0.252102
quick,nlogn,sorted,262144,5,1.083562
quick,nlogn,sorted,1048576,5,4.70854
quick,nlogn,reversed,256,5,0.002329
quick,nlogn,reversed,1024,5,0.021551
quick,nlogn,reversed,4096,5,0.288855
