parameter_type,category,parameter,baseline_value,unit,basis,note
static,本人,社宅利用前の年収,"50,000,000",円/年,ユーザー条件,所得税計算のベース
static,社宅,家賃の税前振替率,100,%,ユーザー条件,会社制度の仕様としてモデル化
static,社宅,税前振替上限,なし,,仮定,上限なしで初期化
static,社宅,別途課税される現物利益,0,円/年,仮定,給与明細・社宅規程で要確認
static,税・社保,通常時社会保険料,"1,500,000",円/年,仮定,比較用の仮置き
static,税・社保,社宅利用時社会保険料,"1,500,000",円/年,仮定,通常時と差なしで仮置き
static,税・社保,その他所得控除,0,円/年,仮定,比較を単純化
static,融資,LTV,90,%,仮定,購入価格の10%を頭金
static,融資,ローン期間,35,年,仮定,基本ケース
static,融資,返済方法,元利均等,,仮定,IOへ変更可能
static,購入,購入諸費用,7,購入価格比 %,仮定,仲介・登記・取得税等をまとめた仮定
static,売却,売却費用,3.5,売却価格比 %,仮定,仲介等
static,賃貸,初期費用,2,家賃月数,仮定,返還される敷金は原則除外
static,賃貸,更新料,1,家賃月数 / 2年ごと,仮定,基本ケース
static,税務,建物比率,30,%,仮定,売却時取得費計算用
static,税務,税務取得費に含める購入費,4,購入価格比 %,仮定,税務取得費計算の簡略化
static,税務,"居住用3,000万円控除",適用,,仮定,要件を満たす前提
static,税務,売却税,算入,,設定,ON
static,税務,10年超所有の軽減税率,適用可能なら適用,,設定,11年目以降の売却に使用
dynamic,物件,購入価格,"250,000,000",円,基準シナリオ,買値の損益分岐を見る
dynamic,賃貸,同等住戸の家賃,"750,000",円/月,ユーザー条件,Price/Rentの関係
dynamic,期間,居住・比較期間,10,年,基準シナリオ,居住年数の損益分岐
dynamic,住宅価格,住戸価格変化率,0,%/年,基準シナリオ,最重要の損益分岐変数
dynamic,融資,住宅ローン金利,1.5,%/年,基準シナリオ,金利感応度
dynamic,資産運用,金融資産税後利回り,3.0,%/年,基準シナリオ,賃貸側の機会費用
dynamic,社宅,社宅制度を利用できる期間,10,年,基準シナリオ,社宅メリットの持続期間
dynamic,賃貸,家賃上昇率,0,%/年,基準シナリオ,賃料インフレ
dynamic,購入,所有コスト,"2,500,000",円/年,基準シナリオ,管理費・修繕・税・保険等
dynamic,購入,所有コスト上昇率,0,%/年,基準シナリオ,修繕積立金増額等
dynamic,金利,金利変更時期,なし,,基準シナリオ,利上げストレス用
dynamic,金利,変更後金利,3.0,%/年,ストレス値,例: 5年後1.5→3%
dynamic,修繕,一時修繕負担,0,円,基準シナリオ,大規模追加負担
dynamic,修繕,発生時期,8,年目,ストレス値,一時支出タイミング
