month,jpx_n,jpx_w_per,recon_jpx,n,etf1475,miss1475,neg1475,etf1329,miss1329,neg1329,err_%
2020-06-30,2155.0,19.5,20.59,371,15.97,1179,39,20.97,36,20,5.6
2020-07-31,2167.0,18.8,20.09,347,15.58,1180,50,20.74,36,27,6.9
2020-08-31,2166.0,20.3,21.69,348,18.08,1176,61,23.56,36,34,6.8
2020-09-30,2172.0,20.5,20.42,347,18.06,1177,63,23.79,36,34,-0.4
2020-10-31,2171.0,19.9,20.03,345,17.57,1177,63,23.58,35,37,0.7
2020-11-30,2174.0,22.2,22.48,347,20.04,1172,71,27.33,35,40,1.3
2020-12-31,2181.0,22.8,23.3,348,20.62,1171,70,28.28,35,40,2.2
2021-01-31,2188.0,23.1,23.33,348,20.34,1176,70,28.52,36,40,1.0
2021-02-28,2190.0,23.9,25.34,354,18.94,1181,65,25.14,37,38,6.0
2021-03-31,2182.0,26.2,26.39,355,20.01,1197,63,25.74,41,38,0.7
2021-04-30,2183.0,25.5,25.93,354,18.74,1200,58,24.36,41,34,1.7
2021-05-31,2186.0,26.1,20.61,370,16.61,1191,49,17.94,38,27,-21.0
2021-06-30,2181.0,21.7,20.98,370,16.82,1194,47,17.99,37,27,-3.3
2021-07-31,2181.0,21.2,20.54,344,15.7,1188,46,16.38,33,25,-3.1
2021-08-31,2180.0,21.9,21.12,344,14.43,1185,38,16.03,32,21,-3.5
2021-09-30,2164.0,22.6,21.94,345,14.96,1185,38,16.77,32,21,-2.9
2021-10-31,2166.0,22.3,21.56,347,14.51,1187,41,16.0,31,23,-3.3
2021-11-30,2167.0,21.3,20.83,347,13.43,1196,36,16.15,31,18,-2.2
2021-12-31,2165.0,21.9,21.54,347,13.88,1200,35,16.68,31,18,-1.7
2022-01-31,2163.0,20.8,20.46,348,13.05,1197,38,15.07,31,19,-1.6
2022-02-28,2161.0,20.7,18.6,354,12.71,1194,35,15.4,36,17,-10.1
2022-03-31,2159.0,19.7,19.36,354,13.17,1201,35,16.08,40,17,-1.7
2022-04-30,1821.0,19.2,18.77,358,13.04,1201,32,15.39,40,14,-2.2
2022-05-31,1822.0,19.1,14.69,388,13.28,1194,30,17.22,39,13,-23.1
2022-06-30,1833.0,14.3,14.31,389,12.9,1198,30,16.51,40,13,0.1
2022-07-31,1832.0,14.9,14.94,372,13.66,1195,29,17.07,41,10,0.2
