date,n,exclude/exclude,exclude/median,keep/exclude,keep/median,neg_w,miss_w,anchor,miss,err_exclude,err_keep
2020-03-31,103,23.81,23.78,24.45,24.41,2.58,1.68,,MNST:0.38;BIDU:0.35;WDAY:0.27;SPLK:0.24;TCOM:0.16;FOXA:0.11,,
2020-06-30,103,30.3,30.26,31.38,31.32,3.38,1.9,,MNST:0.36;BIDU:0.32;WDAY:0.32;SPLK:0.31;DOCU:0.31;TCOM:0.13,,
2020-09-30,103,35.6,35.57,36.58,36.53,2.62,1.99,,MNST:0.37;DOCU:0.34;WDAY:0.33;BIDU:0.31;SPLK:0.26;MRNA:0.24,,
2020-12-31,102,39.88,39.72,40.72,40.53,2.0,3.34,,BIDU:0.49;MNST:0.4;WDAY:0.36;DOCU:0.34;MRNA:0.34;MRVL:0.26,,
2021-03-31,102,38.06,38.02,38.66,38.6,1.51,3.03,45.37,BIDU:0.48;MRNA:0.43;MNST:0.39;WDAY:0.36;DOCU:0.31;MRVL:0.27,-16.2,-14.9
2021-06-30,102,37.78,37.79,38.27,38.26,1.25,3.49,,MRNA:0.69;DOCU:0.4;BIDU:0.39;MNST:0.35;MRVL:0.35;WDAY:0.33,,
2021-09-30,102,32.63,32.71,32.98,33.05,1.02,4.05,,MRNA:1.11;TEAM:0.39;MRVL:0.36;DOCU:0.36;CRWD:0.35;MNST:0.34,,
2021-12-31,101,33.07,33.11,34.17,34.2,3.17,1.06,,TEAM:0.36;MNST:0.34;BIDU:0.24;SPLK:0.12,,
2022-03-31,102,28.39,28.42,29.33,29.35,3.16,0.98,,MNST:0.31;TEAM:0.3;BIDU:0.23;CEG:0.13,,
2022-06-30,102,21.79,21.82,22.58,22.6,3.44,1.2,27.74,MNST:0.46;BIDU:0.3;TEAM:0.25;CEG:0.18,-21.3,-18.5
2022-09-30,102,21.39,21.42,22.03,22.05,2.85,1.47,30.29,MNST:0.46;TEAM:0.3;CEG:0.27;LCID:0.23;BIDU:0.21,-29.3,-27.2
2022-12-31,101,21.89,21.94,22.67,22.72,3.41,1.1,,MNST:0.49;ENPH:0.33;TEAM:0.18;LCID:0.11,,
2023-03-31,101,28.91,28.91,32.1,32.07,9.86,0.84,,MNST:0.43;ENPH:0.22;TEAM:0.2,,
2023-06-30,101,35.87,35.78,37.4,37.29,4.06,1.07,,MNST:0.4;EXC:0.27;GEHC:0.25;ENPH:0.15,,
2023-09-30,101,30.65,30.61,32.83,32.76,6.54,1.22,32.52,MNST:0.48;EXC:0.33;GEHC:0.27;ENPH:0.14,-5.9,0.7
2023-12-31,101,32.3,32.25,34.4,34.33,6.05,0.76,,MNST:0.48;EXC:0.28,,
2024-03-31,101,33.6,33.58,34.83,34.8,3.51,0.72,,MNST:0.45;EXC:0.27,,
2024-06-30,102,35.27,35.23,36.41,36.37,3.12,0.59,,MNST:0.35;EXC:0.23;GRAL:0.0,,
2024-09-30,101,35.3,35.28,36.6,36.56,3.51,0.6,,MNST:0.34;EXC:0.27,,
2024-12-31,101,35.55,35.54,36.84,36.82,3.48,0.33,,MNST:0.33,,
2025-03-31,101,31.17,31.18,32.5,32.5,4.08,0.39,,MNST:0.39,,
2025-06-30,101,34.54,34.54,36.07,36.06,4.23,0.36,42.02,MNST:0.36,-17.8,-14.2
2025-09-30,101,35.93,35.92,37.03,37.01,2.94,0.35,43.36,MNST:0.35,-17.2,-14.6
2025-12-31,101,35.12,35.1,35.77,35.75,1.81,0.41,41.57,MNST:0.41,-15.6,-14.0
2026-03-31,101,31.6,31.6,32.57,32.57,2.98,0.4,36.52,MNST:0.4,-13.5,-10.8
2026-06-30,102,35.29,35.29,37.19,37.18,5.07,0.95,34.45,MNST:0.41;HONA:0.3;BKR:0.24,2.4,7.9
