date,n,exclude/exclude,exclude/median,keep/exclude,keep/median,neg_w,miss_w,anchor,miss,err_exclude,err_keep
2020-03-31,25,22.18,22.16,22.18,22.16,0.0,1.54,,MRVL:1.54,,
2020-06-30,25,28.18,28.2,28.18,28.2,0.0,1.71,,MRVL:1.71,,
2020-09-30,25,30.21,30.28,31.91,31.94,5.19,2.21,,MRVL:2.21,,
2020-12-31,25,36.06,36.05,37.77,37.72,4.43,2.0,,MRVL:2.0,,
2021-03-31,25,38.02,38.07,38.02,38.07,0.0,1.64,,MRVL:1.64,,
2021-06-30,25,35.11,35.12,35.11,35.12,0.0,2.51,,MRVL:2.51,,
2021-09-30,25,29.84,29.96,29.84,29.96,0.0,2.36,28.22,MRVL:2.36,6.2,6.2
2021-12-31,25,30.99,30.99,32.22,32.22,3.81,0.0,28.08,,10.4,14.7
2022-03-31,25,24.69,24.69,25.7,25.7,3.94,0.0,,,,
2022-06-30,25,17.03,17.03,17.59,17.59,3.16,0.0,,,,
2022-09-30,25,15.14,15.14,15.66,15.66,3.28,0.0,,,,
2022-12-31,25,18.03,18.03,18.53,18.53,2.68,0.0,17.28,,4.3,7.2
2023-03-31,25,25.65,25.65,26.21,26.21,2.11,0.0,,,,
2023-06-30,25,28.4,28.4,31.55,31.55,9.98,0.0,,,,
2023-09-30,25,24.65,24.65,28.99,28.99,14.96,0.0,,,,
2023-12-31,25,31.42,31.42,35.57,35.57,11.66,0.0,,,,
2024-03-31,25,37.1,37.1,39.71,39.71,6.55,0.0,39.25,,-5.5,1.2
2024-06-30,25,41.93,41.93,44.74,44.74,6.28,0.0,,,,
2024-09-30,25,39.58,39.58,42.33,42.33,6.48,0.0,,,,
2024-12-31,25,34.78,34.78,37.4,37.4,7.02,0.0,36.31,,-4.2,3.0
2025-03-31,25,30.54,30.54,32.65,32.65,6.46,0.0,29.98,,1.9,8.9
2025-06-30,25,36.08,36.08,38.79,38.79,6.97,0.0,,,,
2025-09-30,25,39.61,39.61,43.25,43.25,8.4,0.0,,,,
2025-12-31,25,44.58,44.58,45.02,45.02,0.97,0.0,42.68,,4.5,5.5
2026-03-31,25,40.71,40.71,43.01,43.01,5.34,0.0,,,,
2026-06-30,25,49.93,51.91,52.93,54.73,5.15,9.29,48.64,TSM:9.29,6.7,12.5
